ID,list,case,sex,age,acq_date,condition,stim_nr,stim_category,stim_A,stim_T,AC,TY
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,27,massieren,A_Massi3_9,T_Massi3,massieren,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,28,säen,A_Saeen1_10,T_Saeen1,säen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,29,säen,A_Saeen2_10,T_Saeen2,säen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,30,säen,A_Saeen3_10,T_Saeen3,säen,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,31,schlagen,A_Schla1_11,T_Schla1,schlagen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,32,schlagen,A_Schla2_11,T_Schla2,schlagen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,33,schlagen,A_Schla3_11,T_Schla3,schlagen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,34,schreiben,A_Schre1_12,T_Schre1,schreiben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,35,schreiben,A_Schre2_12,T_Schre2,schreiben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,36,schreiben,A_Schre3_12,T_Schre3,schreiben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,37,schrubben,A_Schru1_13,T_Schru1,schrubben,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,38,schrubben,A_Schru2_13,T_Schru2,schrubben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,39,schrubben,A_Schru3_13,T_Schru3,schrubben,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,40,tauchen,A_Tauch1_14,T_Tauch1,tauchen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,41,tauchen,A_Tauch2_14,T_Tauch2,tauchen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,42,tauchen,A_Tauch3_14,T_Tauch3,tauchen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,43,tragen,A_Trage1_15,T_Trage1,tragen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,44,tragen,A_Trage2_15,T_Trage2,tragen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,45,tragen,A_Trage3_15,T_Trage3,tragen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,46,verdrehen,A_Verdr1_16,T_Verdr1,verdrehen,5
